COUNTRY,CYCLE YEAR 1,CYCLE YEAR 2,ARTICLE/GR,CEDAW RECOMMENDATION,IMPLEMENTATION STATUS ,STATE ACTION,CATEGORY 1,INCOME STATUS,HUMANITARIAN CRISIS STATUS,Form of violence,Form of violence 2,Intersectional features,CSO commentary,Completed row? (Y/N),Violence,Forced,Sexual harassment,IPV,Femicide,FGM,Stalking,Rape,Forced marriage,Combined GBV
AFGHANISTAN,2013,2017,Article 12,"To expand the grounds on which abortion is permitted, in particular, cases of rape and incest",Not implemented,"The Penal Code criminalizes abortion and has anticipated punishment for those committing it. But in cases where abortion is needed for rescuing the life of the mother as instructed by a doctor for medical reasons, abortion is not a crime.",Legislation/policy change,Low ,Y,,,,,,0,0,0,0,0,0,0,1,0,1
AFGHANISTAN,2013,2017,General Recommendation 19,Ensure that shelters for women victims of violence are properly resourced...increase the number of shelters…provide counselling and rehab services,Partial,"""Legal Aid centres and family dispute resolution units are active in 34 provinces under the police headquarters framework"" ""to study the cases of imprisoned
women, committees of anti-harassment for women in the government departments,
28 women’s support centres in the capital and 20 provinces, special prosecution offices for EVAW cases in 34 provinces has been sit up""",Resource allocation and investment ,Low ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
AFGHANISTAN,2013,2017,General Recommendation 19,"To establish measures, as a priority, to effectively combat impunity and comply with its due diligence obligation to prevent, investigate, prosecute and punish violence perpetrated against women by State and non-State actors;",Implemented,"""The GoIRA has taken various measures for better implementation of the Elimination of Violence against Women Law"" "" establishment of institutions, policies and regulations, training judges…etc"" ",Access to justice (legal aid and legal protection),Low ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
AFGHANISTAN,2013,2017,General Recommendation 19,"Ensure the proper implementation of the Law on the Elimination of Violence against Women by, for example, providing systematic training …for police officers ..., issuing guidelines to the courts on the application of the Law on the Elimination of Violence against Women ",Implemented,"""The GoIRA has taken various measures for better implementation ...EVAW-Law such as...training of judges, prosecutors, police, and
other relevant employees as well as public legal awareness raising programmes"" ""capacity building training programmes (177 training) on
EVAW Law were conducted for the 2,291 prosecutors as well as more than 200 EVAW
Law training programmes were conducted "" ",Capacity building,Low ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
AFGHANISTAN,2013,2017,Article 2 ,"Raise the awareness of the police, prosecutors, judges and the general public regarding… violations of women’s rights, including domestic violence",Implemented,"The Attorney General’s Office has held training programmes and seminars for
425 employees and prosecutors for capacity development and awareness raising
regarding EVAW",Capacity building,Low ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
AFGHANISTAN,2013,2017,General Recommendation 19,Standardized collection of disaggregated data on all forms of violence against women ,Implemented,"GoIRA has taken some action… "" establishment of a database system in MoWA for registering cases
related to violence against women at the country level is an example""",Data collection,Low ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
AFGHANISTAN,2013,2017,Article 2,"Ensure that any law defining the relationship between the formal justice system and informal justice mechanisms improves compliance with all national laws, including the Law on the Elimination of Violence against Women, and prohibits jirgas and shuras from addressing serious violations of human rights, as previously recommended by the international community  ""adopting without delay the draft family code and by ensuring that any revisions of the Penal Code and the Code of Criminal Procedures repeal, and do not include, discriminatory provisions against women""",Partial,Government has changed the traditional justice policies to reform Jirgas law in civil disputes. This draft law is not yet ratified and is still under law procedure.,Legislation/policy change,Low ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
AFGHANISTAN,2013,2017,Article 5(a),"To repeal article 398 of the Penal Code to ensure that perpetrators of so-called “honour killings” are not given legal concessions, and include a definition of rape in the Penal Code, in line with international standards.",Partial,The New Penal Code (2017) has written off honour killings which was mentioned in Article 398 of the Penal Code (1976).,Legislation/policy change,Low ,Y,,,,,,0,0,0,0,0,0,0,1,0,1
ALGERIA,2012,2015,General recommendation 19,"""Express civil and criminal law provisions that define and prohibit discrimination against women""",Partial,"""Some amendments to the Penal Code provisions to strenghten provisions prohibiting violence against women""",Legislation/policy change,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,Article 5(a),"Put in place, without delay, a comprehensive strategy, in conformity with articles 2(f) and 5(a) of the Convention, to eliminate stereotypes and harmful practices that discriminate against women, such as early marriage, polygamy, female genital mutilation, levirate, and acts of violence against women of the San Community and against children or old women considered to be witches. Such measures should include concerted efforts, within a clear timeframe, in collaboration with civil society, the school system, the media and traditional leaders, to educate and raise awareness about negative gender stereotypes, targeting women and girls as well as men and boys at all levels of society;",Implemented,•Implementation of the Impact and Resource Mobilization Strategy for the Implementation and Monitoring of the National Policy for Gender Equality and Equity,Legislation/policy change,Lower middle ,Y,,,,,,1,0,0,0,0,1,0,0,0,1
ANGOLA ,2013,2017,Article 5(a),"Adopt legal provisions prohibiting polygamy, early marriages, female genital mutilation and levirate, and include adequate sanctions for violations of these provisions",Unacknowledged,No state action taken ,Legislation/policy change,Lower middle ,Y,,,,,,0,0,0,0,0,1,0,0,0,1
ANGOLA ,2013,2017,General recommendation 19,"Significantly increase its awareness-raising and education efforts,
targeted at both men and women, with the support of civil society organizations, in order to combat violence against women;",Implemented," In 2016, the Government, through the Ministry of Family and Promotion of Women, launched a free hotline (SOS Domestic Violence, telephone number 15020) for reporting cases of domestic violence. As part of the implementation of the Executive Plan to Combat Domestic Violence, the National Criminal Investigation Service created a specialized department to deal with domestic violence complaints, and Section 9 of the Ordinary Crimes Division of the Provincial Courts was also created to deal with matters relating to domestic violence. Compensation is awarded to victims in this forum by order of the judge. In the area of awareness-raising and dissemination, from 2013 to 201 a total of 9,410 leaflets on Act No. 25/11, 2,220 on the implementing regulations for the Act, 4,345 on the Executive Plan and 4,210 on domestic violence, among others, were produced.                                                                                                                                                                     ",Awareness campaign,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,General recommendation 19,"Collect data on cases of gender-based violence, including on the number of complaints, prosecutions and convictions, and the sentences imposed on perpetrators of sexual and gender-based violence, as well as on the number, capacity and resources of shelters, counselling and rehabilitation services for women victims of
such violence;",Unacknowledged,No state action taken ,Data collection,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,General recommendation 19,"Adopt a law aimed at combating trafficking in human beings and
amendments to the Penal Code and ensure that they fully comply with article 6 of the Convention and strengthen mechanisms for the investigation, prosecution and punishment of trafficking offenders;",Implemented,"Act No. 3/14 of 10 February on the criminalization of offences underlying money-laundering, article 19 (1), of which provides that “anyone who offers, delivers, bribes, accepts, transports, houses or shelters persons for purposes of labour exploitation or extraction of organs, by means of violence, abduction or serious threat or through trickery or fraudulent means, by abusing authority resulting from a relationship of seniority, economic, work-related or family dependency, or by taking advantage of the mental incapacity or situation of special vulnerability of the victim, or by obtaining the consent of the person who has control over the victim, shall be punished by imprisonment for 8 to 12 years.”.",Legislation/policy change,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
ANGOLA ,2013,2017,Article 10(h)," Raise awareness among communities, families, students, teachers and officials, especially men, about the importance of women’s and girls’ education;


",Implemented,"The Ministry of Education is developing, with the participation of parents and education administrators, a strategy to reactivate and strengthen the gender and human rights units in the provincial education directorates, which will have an impact on provincial schools in terms of ensuring a gender balance; providing psycho-educational support for victims of domestic violence, forced labour, orphanhood and early pregnancy; and eliminating gender-based discrimination and enhancing female participation in the education system.
                                                                                   ",Awareness campaign,Lower middle ,Y,,,,,,1,1,0,0,0,0,0,0,0,1
